facilityid,name,city,county,state,zip,capacity,type,securelvl,status,flood_risk_rating,flood_risk,confidence,latitude,longitude
10006216,Chatham Youth Development Center,Siler City,Chatham,NC,27344,32,State,Juvenile,Open,1,Minimal,High,35.7200710129552,-79.4239710175544
10006584,Lenoir Youth Development Center,Kinston,Lenoir,NC,28504,44,State,Juvenile,Open,1,Minimal,Medium,35.3085100116713,-77.63056401053
10004166,Durham County Youth Home,Durham,Durham,NC,27704,14,County,Juvenile,Open,1,Minimal,High,36.03276700528,-78.9097379887988
10004208,Dobbs Youth Development Center,Kinston,Lenoir,NC,28504,43,State,Juvenile,Closed,1,Minimal,High,35.3113089805987,-77.6323330111952
10006585,Edgecombe Youth Development Center,Rocky Mount,Edgecombe,NC,27801,44,State,Juvenile,Open,1,Minimal,Medium,35.9945319900264,-77.770087997322
10004204,Stonewall Jackson Youth Development Center,Concord,Cabarrus,NC,28027,96,State,Juvenile,Open,1,Minimal,High,35.3625890032214,-80.6007840207781
10006348,Burke Crv Center,Morganton,Burke,NC,28655,248,State,Minimum,Open,1,Not Available,Low,35.6782049991555,-81.6819350336129
10004209,Gaston Reg Juvenile Detention Center,Dallas,Gaston,NC,28034,24,State,Juvenile,Closed,1,Minimal,High,35.3200286242633,-81.2091517364339
10004181,Marion Minimum Security Unit,Marion,Mcdowell,NC,28752,116,State,Minimum,Open,1,Minimal,Medium,35.6535720106464,-81.9538759914943
10001751,Caledonia Correctional Institution - Minimum,Tillery,Halifax,NC,27882,1038,State,Minimum,Open,1,Minimal,High,36.2927753936739,-77.4623000538739
10001773,Black Mountain Correctional Center For Women,Black Mountain,Buncombe,NC,28711,80,State,Minimum,Closed,1,Minimal,High,35.6135660979778,-82.3598087164944
10001795,Bladen Correctional Center,Elizabethtown,Bladen,NC,28337,172,State,Minimum,Closed,1,Minimal,High,34.6539010175755,-78.5184570022479
10004188,Western Area Multipurpose Juvenile Crisis And Assesment Center,Asheville,Buncombe,NC,28806,4,State,Juvenile,Open,1,Minimal,High,35.6151300042938,-82.6281099964995
10004205,Cabarrus Correctional Center,Mount Pleasant,Cabarrus,NC,28124,NA,State,Minimum,Closed,1,Minimal,High,35.3973299802269,-80.4125780241622
10004203,Charlotte Correctional Center,Charlotte,Mecklenburg,NC,28208,252,State,Minimum,Closed,1,Minimal,High,35.195677985994,-80.9221399859163
10004218,Duplin Correctional Center,Kenansville,Duplin,NC,28349,328,State,Minimum,Closed,1,Minimal,High,34.9785900465113,-77.9397899368497
10001765,Fountain Correctional Center For Women,Rocky Mount,Edgecombe,NC,27804,510,State,Minimum,Closed,1,Minimal,High,35.9985309960314,-77.769654988204
10004167,Durham Correctional Center,Durham,Durham,NC,27705,216,State,Minimum,Closed,1,Minimal,Medium,36.0625686527674,-78.9298695817972
10001756,Guilford Correctional Center,Mcleansville,Guilford,NC,27301,NA,State,Minimum,Closed,1,Minimal,Medium,36.1138500161999,-79.6977069600009
10004225,Mccain Correctional Hospital,Raeford,Hoke,NC,28376,411,State,Minimum,Closed,1,Not Available,Low,35.0581879937361,-79.3468870126395
10004223,Evergreen Rehabilitation Center,St. Pauls,Robeson,NC,28384,NA,State,Not Available,Closed,1,Minimal,High,34.8472719848376,-78.980479994314
10005520,Samarkand Youth Development Center,Eagle Springs,Moore,NC,27242,70,State,Juvenile,Closed,1,Minimal,High,35.2599721958633,-79.6948193479155
10001022,North Carolina Correctional Institution For Women - Minimum,Raleigh,Wake,NC,27610,1776,State,Minimum,Open,1,Minimal,Medium,35.7628680047406,-78.6200969659817
10001781,Wayne Correctional Center,Goldsboro,Wayne,NC,27530,428,State,Medium,Closed,1,Not Available,Low,35.385464013268,-78.0344790397372
